Date,Price,Open,High,Low,Vol.,Change %
5/18/2023,"2,111.82","2,124.00","2,124.51","2,110.53",,-0.53%
5/17/2023,"2,123.10","2,120.50","2,129.57","2,119.13",,0.01%
5/16/2023,"2,122.86","2,128.73","2,129.86","2,123.45",,-0.23%
5/15/2023,"2,127.86","2,119.78","2,132.00","2,119.34",,0.43%
5/12/2023,"2,118.84","2,118.26","2,126.17","2,118.26",,0.03%
5/11/2023,"2,118.14","2,123.89","2,125.38","2,118.58",,-0.22%
5/10/2023,"2,122.72","2,127.80","2,130.70","2,123.79",,-0.23%
5/9/2023,"2,127.61","2,125.17","2,133.55","2,122.50",,0.09%
5/8/2023,"2,125.77","2,122.97","2,129.16","2,120.20",,0.14%
5/5/2023,"2,122.70","2,125.89","2,125.92","2,120.15",,-0.09%
5/4/2023,"2,124.56","2,129.80","2,130.61","2,112.06",,0.05%
